id,name,expected_direction,main_horizon,period,n,mean,ci_low,ci_high,excludes_zero
B1,RSI<30 & MFI<20,positive,5,2023,729,0.007959319818307897,0.0028831652211265472,0.013357759680417611,True
B1,RSI<30 & MFI<20,positive,5,2024,1155,0.01761279693970898,0.01263837009358243,0.022703206973401516,True
B1,RSI<30 & MFI<20,positive,5,all,1884,0.013877454677765565,0.010256976017953869,0.017690376069686372,True
B2,RSI<30 & 볼린저 하단,positive,5,2023,2421,0.01178663433403449,0.007955481352520487,0.01567336358646109,True
B2,RSI<30 & 볼린저 하단,positive,5,2024,4356,0.03432970878833819,0.03144316877379417,0.03723276443484986,True
B2,RSI<30 & 볼린저 하단,positive,5,all,6777,0.026276472363095566,0.02400504446684805,0.02861216204149399,True
B4,RSI>70 & MFI>80,negative,5,2023,2239,-0.009902171018032422,-0.015851910010045746,-0.0037597855396815445,True
B4,RSI>70 & MFI>80,negative,5,2024,1963,-0.01614224048523184,-0.022719756177012086,-0.009525673849856532,True
B4,RSI>70 & MFI>80,negative,5,all,4202,-0.012817272484979698,-0.01723276057661862,-0.00827554012095857,True
B5,RSI>70 & 볼린저 상단,negative,5,2023,3557,-0.01057824896167743,-0.01510388106874778,-0.005848127247301598,True
B5,RSI>70 & 볼린저 상단,negative,5,2024,2966,-0.01929518920753313,-0.024350017776088553,-0.014143032298374497,True
B5,RSI>70 & 볼린저 상단,negative,5,all,6523,-0.014541830867120938,-0.017938577795457298,-0.011169322515991047,True
B6,MFI>80 & 볼린저 상단,negative,5,2023,3881,-0.008862553669776958,-0.01299860878423865,-0.004601089971479396,True
B6,MFI>80 & 볼린저 상단,negative,5,2024,3362,-0.01597820874241533,-0.020552391685360202,-0.011243827177195298,True
B6,MFI>80 & 볼린저 상단,negative,5,all,7243,-0.012165443681403385,-0.015279966167153776,-0.009023691000797921,True
B35,ROE 상위 풀 ∩ RSI<30,positive,20,2023,961,0.01939244458132442,0.011301212394074453,0.027395824818366978,True
B35,ROE 상위 풀 ∩ RSI<30,positive,20,2024,1613,0.01732983962847934,0.010571098766936737,0.024124091017728142,True
B35,ROE 상위 풀 ∩ RSI<30,positive,20,all,2574,0.018099910863787858,0.013041757314648334,0.023248340364739127,True
B28,호재공시 & RSI>70,two_sided,5,2023,107,0.08593210429286169,0.06357713010457869,0.11080650574426144,True
B28,호재공시 & RSI>70,two_sided,5,2024,114,0.08056790378485881,0.05616549052192476,0.10780803760334186,True
B28,호재공시 & RSI>70,two_sided,5,all,221,0.08316505063714978,0.06642292105693262,0.10095894439283763,True
C2,RSI>70 & MFI>80 & 거래량 급증,negative,5,2023,1407,-0.012854809638573288,-0.020254592003772946,-0.005153365419885344,True
C2,RSI>70 & MFI>80 & 거래량 급증,negative,5,2024,1207,-0.01977497564379443,-0.028324509237863872,-0.010759310151429044,True
C2,RSI>70 & MFI>80 & 거래량 급증,negative,5,all,2614,-0.016050157904947397,-0.021607854542249772,-0.010232906885019198,True
C3,RSI<30 & 볼린저 하단 & 거래량 급증,positive,5,2023,633,0.010403164722852134,0.0022134811682476717,0.019235990888109726,True
C3,RSI<30 & 볼린저 하단 & 거래량 급증,positive,5,2024,1511,0.04520072010392357,0.04018127115518624,0.05027147926970256,True
C3,RSI<30 & 볼린저 하단 & 거래량 급증,positive,5,all,2144,0.03492700156091134,0.030500289474151,0.03936498440485884,True
C4,RSI>70 & 볼린저 상단 & 거래량 급증,negative,5,2023,2406,-0.011322697086516762,-0.016711215619005605,-0.005480493122781797,True
C4,RSI>70 & 볼린저 상단 & 거래량 급증,negative,5,2024,1991,-0.01826200611201295,-0.024594394756786406,-0.01161579450781161,True
C4,RSI>70 & 볼린저 상단 & 거래량 급증,negative,5,all,4397,-0.01446487681582377,-0.018665741083509744,-0.010108464986778346,True
C6,RSI>70 & MFI>80 & 볼린저 상단,negative,5,2023,1473,-0.017454619840389336,-0.02443112534203169,-0.01016108173126358,True
C6,RSI>70 & MFI>80 & 볼린저 상단,negative,5,2024,1257,-0.023744219390447012,-0.032297148250393086,-0.015068502571584182,True
C6,RSI>70 & MFI>80 & 볼린저 상단,negative,5,all,2730,-0.020350600292558748,-0.02570408871922073,-0.014754232580050432,True
